07/11 15:10:12.881 | 15:10:12.881 : #00004020 #Con#Mercury     TMercuryClientProcessor.ProcessImAlive : 07/11/2022 15:10:12.265 BookBMF=0 BookBovespa=0 TradesBMF=0 TradesBovespa=0 QuotesBMF=0 QuotesBovespa=0 TradesReplay=0 QuotesReplay=0
07/11 15:10:12.881 | 15:10:12.265 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 48 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:12.882 | 15:10:12.266 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 49 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:12.990 | 15:10:12.374 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.833
07/11 15:10:12.990 | 15:10:12.374 : #00004020 #Con#Mercury     TExchangeManager.AddExchangeInfo: IsReplay: 0 Bolsa: Bovespa B
07/11 15:10:12.990 | 15:10:12.374 : #00004020 #Con#Mercury     TExchangeManager.AddExchangeInfo: IsReplay: 0 Bolsa: BMF F
07/11 15:10:12.990 | 15:10:12.374 : #00004020 #Con#Mercury     TExchangeManager.AddExchangeInfo: IsReplay: 0 Bolsa: Economic E
07/11 15:10:12.990 | 15:10:12.374 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 48 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:12.990 | 15:10:12.374 : #00004020 #Con#Mercury     TMercuryClientProcessor.ProcessLoginResult : OK
07/11 15:10:12.990 | 15:10:12.374 : #00004C98 #Log#Roteamento  TDataFeedManager.HandleConnectionState: WM_CONNECTOR_STATE_CONNECTION 2 MercuryState=4
07/11 15:10:12.990 | 15:10:12.374 : #00004020 #Con#Mercury     TMercuryClientProcessor.ProcessTimeZoneServer : TimeZone : -180
07/11 15:10:12.990 | 15:10:12.374 : #00004C98 #Log#Roteamento  TConnectorThread.ProcessStateCallback: Type=2 Result=4
07/11 15:10:12.990 | 15:10:12.374 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 47 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.098 | 15:10:12.482 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=107.420
07/11 15:10:13.098 | 15:10:12.482 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 46 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.098 | 15:10:12.482 : #00004F68 #Con#Info        TInfoClientProcessor.SendMarketHourVersionForExchange: MarketHours: B : 30/12/1899
07/11 15:10:13.098 | 15:10:12.482 : #00004F68 #Con#Info        TInfoClientProcessor.SendMarketHourVersionForExchange: MarketHours: F : 30/12/1899
07/11 15:10:13.098 | 15:10:12.482 : #00004F68 #Con#Info        TInfoClientProcessor.SendMarketHourVersionForExchange: MarketHours: E : 30/12/1899
07/11 15:10:13.098 | 15:10:12.482 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 47 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:13.203 | 15:10:12.587 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=104.675
07/11 15:10:13.203 | 15:10:12.587 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 45 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.203 | 15:10:12.587 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 46 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:13.312 | 15:10:12.696 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.290
07/11 15:10:13.312 | 15:10:12.696 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 44 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.313 | 15:10:12.697 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 45 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:13.421 | 15:10:12.805 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.474
07/11 15:10:13.421 | 15:10:12.805 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 43 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.421 | 15:10:12.805 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 44 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:13.530 | 15:10:12.914 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.675
07/11 15:10:13.530 | 15:10:12.914 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 42 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.530 | 15:10:12.914 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 43 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:13.640 | 15:10:13.024 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=110.236
07/11 15:10:13.640 | 15:10:13.024 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 41 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.641 | 15:10:13.025 : #00004F68 #Con#Info        TCustomClient.FWSocketSslHandshakeDone: Success Address=fa07.nelogica.com.br
07/11 15:10:13.641 | 15:10:13.025 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 42 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:13.751 | 15:10:13.135 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.932
07/11 15:10:13.751 | 15:10:13.135 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 40 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.751 | 15:10:13.135 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 41 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:13.861 | 15:10:13.245 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=110.098
07/11 15:10:13.861 | 15:10:13.245 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 39 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.861 | 15:10:13.245 : #00004F68 #Con#Info        TFilesProtocolDecoder.ProcessMarketHoursReceived: B
